,time,category,field,value,score
222,2025-03-15 18:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
223,2025-03-15 18:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),64.10833333333333,46.0
224,2025-03-15 18:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),63.02499999999999,19.0
226,2025-03-15 18:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,0.1
227,2025-03-15 18:00:00+00:00,Thermal comfort,Temperature (°C),21.791483433333333,50.0
228,2025-03-15 19:00:00+00:00,Acoustics,Sound pressure (dB(A)),54.16666666666666,0.1
229,2025-03-15 19:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1,100.0
231,2025-03-15 19:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),1351.2916666666665,54.0
232,2025-03-15 19:00:00+00:00,Air quality,Relative humidity (R.H.) (%),45.88416666666666,95.0
234,2025-03-15 19:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
235,2025-03-15 19:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),25.075000000000003,76.0
236,2025-03-15 19:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),19.558333333333334,48.0
238,2025-03-15 19:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,0.1
239,2025-03-15 19:00:00+00:00,Thermal comfort,Temperature (°C),20.42731676666667,100.0
240,2025-03-15 20:00:00+00:00,Acoustics,Sound pressure (dB(A)),61.25,0.1
241,2025-03-15 20:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1,100.0
243,2025-03-15 20:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),502.73333333333335,100.0
244,2025-03-15 20:00:00+00:00,Air quality,Relative humidity (R.H.) (%),44.911666666666676,100.0
